7EA249C0	cluster12
7D49CE0E	cluster12
80971530	cluster12
75A84C69	cluster12
7A7AF51B	cluster12
5A6E1F36	cluster12
76FF352D	cluster12
5CA35576	cluster12
80B05915	cluster13
5F48FA46	cluster13
0045486B	cluster13
597291B4	cluster13
8202E8F8	cluster13
8396F77C	cluster13
1412F69D	cluster13
7E86A10F	cluster13
795286E0	cluster13
68B177D9	cluster13
5FE21FD0	cluster13
7AA03EE9	cluster13
7D591922	cluster13
5B7747E4	cluster13
753AD805	cluster13
79384872	cluster13
59F6A218	cluster13
77E766E8	cluster13
81603325	cluster13
0BBE4540	cluster13
7E1628C6	cluster13
04946347	cluster13
7C4FC0D3	cluster13
7D346D39	cluster13
7E32C4CE	cluster13
834D5557	cluster13
7FA5DAA7	cluster13
80E32D1E	cluster13
0FE2C7FC	cluster13
78C16EB7	cluster13
794E51E8	cluster13
09C2E5C0	cluster13
5E8252C6	cluster13
782E5CAB	cluster13
0AEE8E12	cluster13
7EF29C3A	cluster13
7C51DD19	cluster13
7CA3C250	cluster13
7FBACFB1	cluster13
80C4BF44	cluster13
5CC6C624	cluster13
80A8A27D	cluster13
5F8C8AEE	cluster13
01ADB34D	cluster13
7CF9338F	cluster13
7905A049	cluster13
7E9CB610	cluster13
80E68D97	cluster13
7B601FA3	cluster13
7EC9E006	cluster13
757F440D	cluster13
5C1D6A2F	cluster13
816D8F92	cluster13
5F93D1E4	cluster13
7D4C29D7	cluster13
7955B283	cluster13
0BDEA1E9	cluster13
79568DD6	cluster13
78BAF164	cluster13
5C9363FF	cluster13
5E77E04E	cluster13
8064BE5F	cluster13
6D83BA02	cluster13
7F9FD785	cluster13
7DCC6CE9	cluster13
7F0B91D0	cluster13
862B33F9	cluster13
024D83D2	cluster13
7B09376E	cluster13
7C4D2BD5	cluster13
775C0BD2	cluster13
779709D0	cluster13
796552D3	cluster13
5BF87B7D	cluster13
76D48CE2	cluster13
5ECE6F1F	cluster13
7FAC27C5	cluster13
830B042D	cluster13
046460BF	cluster13
766153D6	cluster13
07312CBA	cluster13
74506BBC	cluster13
0B4C81EE	cluster13
803B1408	cluster13
83B34D2F	cluster13
7D3678E7	cluster13
7F6EF493	cluster13
7E5291B9	cluster13
81EDB1BE	cluster13
7BE23112	cluster13
58AE536E	cluster13
7CA485EB	cluster13
78D1D232	cluster13
7DF9C5FF	cluster13
5B3A6400	cluster13
7C18AC36	cluster13
797D381E	cluster13
81D1A4A0	cluster13
5F5F3422	cluster13
7FDFBA82	cluster13
7B32BB1B	cluster13
5890C196	cluster13
7F02235A	cluster13
75AEDBA4	cluster13
7CCB1A64	cluster13
768A2DC5	cluster13
7D786000	cluster13
5B841F0A	cluster13
5B8C5660	cluster13
830B1533	cluster13
0834AB38	cluster13
7C1A06B0	cluster13
7868BB92	cluster13
024E8A0F	cluster13
8353BF61	cluster13
5DBCCCC9	cluster13
8080E932	cluster13
7ACFD53F	cluster13
06768068	cluster13
5CD0D1D6	cluster13
7467431E	cluster13
6C289F96	cluster13
7D0E666B	cluster13
7CF8AC7E	cluster13
7F9EE474	cluster13
814993F4	cluster13
07602549	cluster13
5E6FC21F	cluster13
7FFF7107	cluster13
0A177151	cluster13
7705485F	cluster13
089CA4E9	cluster13
5B432F66	cluster13
7E42A1CF	cluster13
